,match_id,status,competition_id,open_date,home_team,away_team,home_rank,home_score,home_half_score,home_red,home_yellow,home_corner,away_rank,away_score,away_half_score,away_red,away_yellow,away_corner
3376,103377,8,82,1326553200,10180,10024,4,1,1,0,3,0,10,0,0,0,1,0
3377,103378,8,82,1326634200,10136,10290,7,1,1,0,0,0,18,0,0,0,4,0
3378,103379,8,82,1326643200,11844,10215,13,3,1,0,0,0,5,2,1,0,0,0
3379,103380,8,82,1326744000,10248,10181,20,0,0,0,3,0,1,1,1,0,3,0
3380,103381,8,82,1325516400,10411,11844,9,0,0,0,2,0,14,2,1,0,4,0
3381,103382,8,82,1325516400,10290,10184,17,1,1,1,2,0,10,2,1,0,1,0
3382,103383,8,82,1325516400,10006,10246,19,1,0,0,2,0,8,2,2,0,1,0
3383,103384,8,82,1325516400,10226,10180,16,1,0,0,3,0,5,2,0,0,2,0
3384,103385,8,82,1325525400,10018,10215,13,2,0,0,0,0,4,1,1,1,2,0
3385,103386,8,82,1325619900,10183,10005,3,1,0,0,0,0,14,0,0,0,5,0
3386,103387,8,82,1325619900,10248,10024,18,1,0,0,1,0,15,4,1,0,0,0
3387,103388,8,82,1325620800,10181,10249,1,3,2,1,2,0,6,0,0,0,1,0
3388,103389,8,82,1325707200,10250,10007,11,1,0,0,1,0,20,2,0,0,3,0
3389,103390,8,82,1325707200,10136,10135,7,3,1,0,1,0,2,0,0,0,2,0
3390,103391,8,82,1334403900,10184,10181,10,1,0,0,1,0,2,6,2,0,2,0
3391,103392,8,82,1334412000,10005,10290,13,1,1,0,3,0,16,0,0,0,1,0
3392,103393,8,82,1334412000,11844,10006,14,3,2,0,0,0,19,0,0,0,2,0
3393,103394,8,82,1334412000,10024,10226,11,0,0,0,0,0,20,0,0,0,1,0
3394,103395,8,82,1334502000,10135,10411,1,4,2,0,3,0,15,0,0,0,3,0
3395,103396,8,82,1334602800,10215,10248,3,1,1,0,2,0,17,2,2,0,3,0
3396,103397,8,82,1335897900,10249,10018,8,0,0,0,0,0,9,1,1,0,0,0
3397,103398,8,82,1335897900,10246,10250,14,1,0,0,2,0,7,1,1,0,1,0
3398,103399,8,82,1335984300,10180,10136,6,0,0,0,0,0,5,2,1,0,3,0
3399,103400,8,82,1335985200,10007,10183,18,1,0,0,2,0,4,4,1,0,1,0
3400,103401,8,82,1335008700,10215,10180,3,0,0,0,3,0,6,0,0,0,4,0
3401,103402,8,82,1335016800,10006,10184,19,2,1,0,1,0,11,0,0,0,1,0
3402,103403,8,82,1335016800,10018,10248,10,2,0,0,1,0,16,1,0,0,2,0
3403,103404,8,82,1335016800,10411,10024,15,0,0,0,0,0,9,0,0,1,3,0
3404,103405,8,82,1335016800,10007,11844,18,1,1,0,2,0,12,1,1,0,1,0
3405,103406,8,82,1335016800,10136,10246,5,3,2,0,0,0,14,0,0,0,2,0
3406,103407,8,82,1335025800,10290,10183,17,1,1,1,5,0,4,0,0,0,0,0
3407,103408,8,82,1335094200,10135,10250,1,4,1,0,1,0,7,4,1,0,2,0
3408,103409,8,82,1335106800,10226,10181,20,0,0,0,0,0,2,2,1,0,1,0
3409,103410,8,82,1335106800,10249,10005,8,0,0,0,1,0,13,1,0,0,0,0
3410,103411,8,82,1335621600,10024,10007,11,2,1,0,1,0,18,2,1,0,0,0
3411,103412,8,82,1335621600,10250,10018,7,4,3,0,1,0,9,0,0,0,1,0
3412,103413,8,82,1335621600,10005,10411,10,0,0,0,0,0,15,0,0,0,4,0
3413,103414,8,82,1335621600,10246,10215,14,1,1,0,1,0,3,1,1,0,2,0
3414,103415,8,82,1335621600,11844,10226,12,4,4,0,2,0,20,4,2,0,1,0
3415,103416,8,82,1335621600,10248,10136,17,4,4,0,2,0,4,0,0,0,1,0
3416,103417,8,82,1335630600,10184,10249,13,0,0,0,4,0,8,3,2,0,0,0
3417,103418,8,82,1335702600,10180,10290,6,6,4,0,0,0,17,1,0,0,1,0
3418,103419,8,82,1335711600,10183,10006,5,2,1,0,0,0,19,0,0,0,0,0
3419,103420,8,82,1335812400,10181,10135,2,1,1,0,3,0,1,0,0,0,2,0
3420,103421,8,82,1350733500,10183,10180,5,2,0,0,3,0,1,4,1,0,2,0
3421,103422,8,82,1350741600,10018,10411,9,1,0,0,1,0,16,0,0,0,2,0
3422,103423,8,82,1350741600,10005,10181,6,1,0,0,4,0,3,2,0,1,3,0
3423,103424,8,82,1350741600,11844,10248,11,2,0,0,2,0,15,1,0,0,3,0
3424,103425,8,82,1350741600,10249,10177,14,1,1,0,1,0,18,0,0,0,1,0
3425,103426,8,82,1350741600,10135,10246,2,4,2,0,1,0,12,2,1,0,1,0
3426,103427,8,82,1350741600,10176,10182,8,4,0,0,0,0,17,1,0,0,2,0
3427,103428,8,82,1350750600,10184,10215,19,1,1,0,4,0,7,0,0,0,0,0
3428,103429,8,82,1350822600,10024,10136,14,1,0,0,0,0,12,1,1,1,4,0
3429,103430,8,82,1350831600,10290,10250,20,1,1,0,2,0,4,1,1,1,2,0
3430,103431,8,82,1351338300,10411,10184,17,1,1,1,3,0,15,1,0,0,0,0
3431,103432,8,82,1351346400,10246,10024,13,0,0,0,2,0,14,0,0,0,2,0
3432,103433,8,82,1351346400,10248,10176,16,2,1,0,2,0,6,1,0,0,4,0
3433,103434,8,82,1351346400,10215,10290,9,1,0,0,2,0,20,0,0,1,2,0
3434,103435,8,82,1351346400,10177,10018,19,3,1,0,1,0,8,3,0,0,1,0
3435,103436,8,82,1351355400,10181,11844,3,1,0,0,1,0,10,0,0,0,2,0
3436,103437,8,82,1351431000,10250,10249,5,2,2,0,4,0,13,2,2,0,3,0
3437,103438,8,82,1351436400,10182,10183,19,1,0,0,0,0,7,2,2,0,3,0
3438,103439,8,82,1351436400,10136,10005,11,2,1,0,4,0,8,1,0,0,3,0
3439,103440,8,82,1351440000,10180,10135,1,2,1,2,3,0,3,3,2,0,2,0
3440,103441,8,82,1368272700,10411,10180,13,1,1,1,3,0,3,2,0,1,4,0
3441,103442,8,82,1368361800,10246,10183,11,1,1,1,5,0,5,2,1,0,1,0
3442,103443,8,82,1368367200,10290,10136,20,1,1,0,1,0,17,2,2,1,4,0
3443,103444,8,82,1368367200,10018,10249,12,1,1,0,0,0,7,3,1,0,1,0
3444,103445,8,82,1368367200,10184,10005,16,4,1,0,2,0,8,0,0,0,1,0
3445,103446,8,82,1368367200,10024,10182,15,1,0,0,0,0,14,1,0,0,2,0
3446,103447,8,82,1368367200,10250,10176,6,2,1,0,1,0,10,0,0,0,2,0
3447,103448,8,82,1368370800,10135,11844,1,2,1,0,0,0,9,1,0,0,0,0
3448,103449,8,82,1368557100,10215,10248,5,4,1,0,0,0,18,1,1,0,2,0
3449,103450,8,82,1368558000,10177,10181,19,0,0,0,0,0,2,2,1,0,1,0
3450,103451,8,82,1345298400,10176,10411,英冠3,1,1,0,0,0,16,0,0,0,1,0
3451,103452,8,82,1345298400,10290,11844,17,0,0,0,3,0,11,5,1,0,2,0
3452,103453,8,82,1345298400,10177,10246,英冠1,1,0,0,2,0,14,1,1,1,4,0
3453,103454,8,82,1345298400,10215,10024,3,0,0,0,0,0,13,0,0,0,0,0
3454,103455,8,82,1345298400,10005,10249,10,3,1,0,1,0,8,0,0,1,4,0
3455,103456,8,82,1345298400,10018,10184,9,5,2,0,0,0,12,0,0,0,0,0
3456,103457,8,82,1345307400,10136,10183,5,2,0,0,2,0,4,1,0,0,2,0
3457,103458,8,82,1345379400,10248,10180,15,0,0,0,2,0,6,2,2,0,1,0
