,match_id,match_count,model_count,change_count,league_count,won,drawn,lost
3285,103802,147550,16151,1006,13,0.330000,0.280000,0.390000
3286,103803,5346,1501,649,3,0.840000,0.100000,0.060000
3287,103804,81044,15037,979,2,0.560000,0.250000,0.190000
3288,103805,131904,21571,994,6,0.490000,0.270000,0.240000
3289,103806,52798,4477,921,31,0.250000,0.260000,0.490000
3290,103807,13701,717,837,12,0.160000,0.190000,0.650000
3291,103808,7124,1931,704,26,0.810000,0.120000,0.070000
3292,103809,208032,28332,1040,6,0.410000,0.280000,0.310000
3293,103810,7124,1931,704,26,0.810000,0.120000,0.070000
3294,103811,3460,991,538,28,0.860000,0.090000,0.050000
3295,103812,138482,14922,1002,32,0.320000,0.280000,0.400000
3296,103813,42430,9277,933,37,0.660000,0.210000,0.130000
3297,103814,213633,30120,1036,30,0.420000,0.280000,0.300000
3298,103815,13701,717,837,12,0.160000,0.190000,0.650000
3299,103816,195286,25648,1027,13,0.390000,0.290000,0.320000
3300,103817,22485,5345,878,21,0.710000,0.180000,0.110000
3301,103818,18315,1039,883,24,0.170000,0.200000,0.630000
3302,103819,17308,4223,837,31,0.730000,0.160000,0.110000
3303,103820,207500,27848,1035,20,0.400000,0.280000,0.320000
3304,103821,2002,34,426,13,0.050000,0.090000,0.860000
3305,103822,66208,13335,973,25,0.600000,0.230000,0.170000
3306,103823,111813,19482,990,0,0.520000,0.260000,0.220000
3307,103824,195286,25648,1027,13,0.390000,0.290000,0.320000
3308,103825,68881,6326,932,7,0.280000,0.270000,0.450000
3309,103826,66208,13335,973,25,0.600000,0.230000,0.170000
3310,103827,17306,4223,837,29,0.730000,0.160000,0.110000
3311,103828,213633,30120,1036,30,0.420000,0.280000,0.300000
3312,103829,5346,1501,649,3,0.840000,0.100000,0.060000
3313,103830,66200,13337,973,17,0.600000,0.230000,0.170000
3314,103831,186728,27359,1019,35,0.440000,0.280000,0.280000
3315,103832,29639,2079,915,38,0.210000,0.230000,0.560000
3316,103833,197852,23693,1036,5,0.360000,0.280000,0.360000
3317,103834,131904,21571,994,6,0.490000,0.270000,0.240000
3318,103835,13701,717,837,12,0.160000,0.190000,0.650000
3319,103836,5346,1501,649,3,0.840000,0.100000,0.060000
3320,103837,81075,15039,979,33,0.560000,0.250000,0.190000
3321,103838,186728,27359,1019,35,0.440000,0.280000,0.280000
3322,103839,213633,30120,1036,30,0.420000,0.280000,0.300000
3323,103840,13695,716,837,6,0.160000,0.190000,0.650000
3324,103841,13256,3379,797,35,0.760000,0.140000,0.100000
3325,103842,27304,6351,885,4,0.700000,0.190000,0.110000
3326,103843,2770,815,500,1,0.880000,0.080000,0.040000
3327,103844,54126,11377,959,33,0.630000,0.220000,0.150000
3328,103845,189786,28327,1019,12,0.450000,0.280000,0.270000
3329,103846,166214,18744,1019,35,0.340000,0.280000,0.380000
3330,103847,137140,14702,1002,16,0.320000,0.270000,0.410000
3331,103848,212412,26643,1043,18,0.380000,0.280000,0.340000
3332,103849,81044,15037,979,2,0.560000,0.250000,0.190000
3333,103850,92139,16608,985,21,0.540000,0.250000,0.210000
3334,103851,128470,21444,989,4,0.500000,0.270000,0.230000
3335,103852,42431,9277,933,38,0.660000,0.210000,0.130000
3336,103853,71782,6540,954,22,0.270000,0.260000,0.470000
3337,103854,13701,717,837,12,0.160000,0.190000,0.650000
3338,103855,23095,1439,899,7,0.190000,0.220000,0.590000
3339,103856,7126,1931,704,28,0.810000,0.120000,0.070000
3340,103857,27304,6351,885,4,0.700000,0.190000,0.110000
3341,103858,113207,19771,996,29,0.520000,0.260000,0.220000
3342,103859,218262,28679,1045,18,0.390000,0.280000,0.330000
3343,103860,54126,11377,959,33,0.630000,0.220000,0.150000
3344,103861,208032,28332,1040,6,0.410000,0.280000,0.310000
3345,103862,113207,19771,996,29,0.520000,0.260000,0.220000
3346,103863,54126,11377,959,33,0.630000,0.220000,0.150000
3347,103864,18314,1039,883,23,0.170000,0.200000,0.630000
3348,103865,42430,9277,933,37,0.660000,0.210000,0.130000
3349,103866,5346,1501,649,3,0.840000,0.100000,0.060000
3350,103867,165341,24698,989,20,0.450000,0.280000,0.270000
3351,103868,81044,15037,979,2,0.560000,0.250000,0.190000
3352,103869,194866,23241,1034,22,0.360000,0.280000,0.360000
3353,103870,13931,3610,820,8,0.780000,0.140000,0.080000
3354,103871,207550,26870,1043,31,0.390000,0.280000,0.330000
3355,103872,51532,4196,943,13,0.240000,0.250000,0.510000
3356,103873,18315,1039,883,24,0.170000,0.200000,0.630000
3357,103874,18314,1039,883,23,0.170000,0.200000,0.630000
3358,103875,66200,13332,972,17,0.600000,0.230000,0.170000
3359,103876,111813,19482,990,0,0.520000,0.260000,0.220000
3360,103877,3460,991,538,28,0.860000,0.090000,0.050000
3361,103878,113248,19775,996,31,0.520000,0.260000,0.220000
3362,103879,3460,991,538,28,0.860000,0.090000,0.050000
3363,103880,81044,15037,979,2,0.560000,0.250000,0.190000
3364,103881,129196,20928,987,28,0.490000,0.270000,0.240000
3365,103882,66200,13337,973,17,0.600000,0.230000,0.170000
3366,103883,66197,13332,972,14,0.600000,0.230000,0.170000
3367,103884,23088,1439,899,0,0.190000,0.220000,0.590000
3368,103885,42409,9273,933,16,0.660000,0.210000,0.130000
3369,103886,212171,26130,1052,11,0.370000,0.280000,0.350000
3370,103887,3460,991,538,28,0.860000,0.090000,0.050000
3371,103888,42431,9277,933,38,0.660000,0.210000,0.130000
3372,103889,189786,28327,1019,12,0.450000,0.280000,0.270000
3373,103890,189786,28327,1019,12,0.450000,0.280000,0.270000
3374,103891,205960,28174,1045,1,0.410000,0.280000,0.310000
